WS,ID,WSID,visual_score,biological_score,conductivity.uscm,turbidity.ntu,po4.mgL,no3.mgL,pH,temperature.c,e.coli.cfu,month,year,day,quarter,ecoli.method.known
BICO,101,BICO101,46,NA,NA,10.21,NA,NA,NA,7.3,100,2,2021,6,1,mTEC
MIDO,505,MIDO505,39,NA,NA,12.9,NA,1.2,NA,8,165,2,2021,6,1,mTEC
MIDO,507,MIDO507,39,NA,NA,7.47,NA,NA,NA,7.4,140,2,2021,6,1,mTEC
MIDO,508,MIDO508,39,NA,NA,11,NA,NA,NA,7.4,140,2,2021,6,1,mTEC
MIDO,604,MIDO604,34,NA,NA,7.78,NA,NA,NA,7.5,85,2,2021,6,1,mTEC
MIDO,609,MIDO609,34,NA,NA,4.77,NA,NA,NA,9.5,280,2,2021,6,1,mTEC
MIDO,610,MIDO610,45,NA,NA,7.25,NA,1.2,NA,7.7,120,2,2021,6,1,mTEC
MIDO,612,MIDO612,39,NA,NA,7.86,NA,NA,NA,NA,95,2,2021,6,1,mTEC
MIDO,613,MIDO613,36,NA,NA,8.32,NA,NA,NA,8,130,2,2021,6,1,mTEC
MIDO,616,MIDO616,28,NA,NA,3.26,NA,1.4,NA,8.4,265,2,2021,6,1,mTEC
MIDO,617,MIDO617,32,NA,NA,12.1,NA,NA,NA,8.6,35,2,2021,6,1,mTEC
MIDO,706,MIDO706,30,NA,NA,10.56,NA,1.5,NA,7,220,2,2021,6,1,mTEC
MIDO,707,MIDO707,48,NA,NA,NA,NA,NA,NA,7.9,105,2,2021,6,1,mTEC
MIDO,709,MIDO709,42,NA,NA,3.88,NA,2.6,NA,9.7,585,2,2021,6,1,mTEC
MIDO,712,MIDO712,34,NA,NA,2.96,NA,2.2,NA,8.3,180,2,2021,6,1,mTEC
MIDO,719,MIDO719,54,NA,NA,8.25,NA,NA,NA,7.1,120,2,2021,6,1,mTEC
MIDO,801,MIDO801,33,NA,NA,8.23,NA,1.9,NA,7.2,95,2,2021,6,1,mTEC
MIDO,802,MIDO802,40,NA,NA,2.98,NA,1.6,NA,7.3,285,2,2021,6,1,mTEC
MIDO,804,MIDO804,44,NA,NA,2.41,NA,NA,NA,7.7,155,2,2021,6,1,mTEC
MIDO,805,MIDO805,34,NA,NA,5.4,NA,0.9,NA,8.4,595,2,2021,6,1,mTEC
MIDO,825,MIDO825,44,NA,NA,4.41,NA,2,NA,8.9,735,2,2021,6,1,mTEC
MIDO,826,MIDO826,42,NA,NA,2.16,NA,1.8,NA,9.3,660,2,2021,6,1,mTEC
MIDO,831,MIDO831,35,NA,NA,1.79,NA,2.1,NA,NA,320,2,2021,6,1,mTEC
MIDO,brooklyn at the plaza,MIDObrooklyn at the plaza,21,NA,NA,3.92,NA,NA,NA,8.8,170,2,2021,6,1,mTEC
NORO,503,NORO503,33,NA,NA,8.46,NA,1.5,NA,7.3,640,2,2021,6,1,mTEC
NORO,510,NORO510,24,NA,NA,9.28,NA,2.2,NA,7.1,75,2,2021,6,1,mTEC
NORO,605,NORO605,36,NA,NA,8.79,NA,2.3,NA,7.6,105,2,2021,6,1,mTEC
NORO,615,NORO615,15,NA,NA,1.22,NA,2,NA,NA,225,2,2021,6,1,mTEC
BICO,101,BICO101,40,NA,87.9,14.1,NA,1.2,7.19,18.2,145,4,2021,17,2,mTEC
MIDO,505,MIDO505,41,NA,57.9,17.8,NA,0.8,7.05,15.7,285,4,2021,17,2,mTEC
MIDO,507,MIDO507,38,NA,58.6,3.6,NA,0.7,6.95,15.7,155,4,2021,17,2,mTEC
MIDO,508,MIDO508,38,NA,57.1,16.2,NA,1,6.95,15.8,245,4,2021,17,2,mTEC
MIDO,604,MIDO604,32,NA,59.5,10.1,NA,0.2,7.5,15.3,190,4,2021,17,2,mTEC
MIDO,609,MIDO609,NA,NA,60,12.7,NA,0,6.99,15.1,275,4,2021,17,2,mTEC
MIDO,610,MIDO610,39,NA,60.7,6.46,NA,0.8,7.09,15.9,155,4,2021,17,2,mTEC
MIDO,612,MIDO612,34,NA,59.4,7.45,NA,0.3,7.94,NA,155,4,2021,17,2,mTEC
MIDO,613,MIDO613,NA,NA,58.7,13.2,NA,0.3,7.14,16.5,190,4,2021,17,2,mTEC
MIDO,616,MIDO616,42,NA,80,3.71,NA,0.6,7.15,15.8,225,4,2021,17,2,mTEC
MIDO,617,MIDO617,NA,NA,46.3,11.5,NA,0.4,7.1,15.4,120,4,2021,17,2,mTEC
MIDO,706,MIDO706,NA,NA,46.4,15.8,NA,0,7.12,16.1,340,4,2021,17,2,mTEC
MIDO,707,MIDO707,37,NA,98.6,6.72,NA,1.2,7.19,16.6,90,4,2021,17,2,mTEC
MIDO,709,MIDO709,NA,NA,64.7,4.34,NA,2.6,6.65,15.4,285,4,2021,17,2,mTEC
MIDO,712,MIDO712,NA,NA,75.3,1.91,NA,4.6,6.94,15.1,235,4,2021,17,2,mTEC
MIDO,719,MIDO719,34,NA,84.9,12.9,NA,1.1,7.15,17.8,205,4,2021,17,2,mTEC
MIDO,801,MIDO801,45,NA,104.6,12.6,NA,0.3,7.33,16.7,155,4,2021,17,2,mTEC
MIDO,802,MIDO802,52,NA,79.9,3.85,NA,1.2,7.56,14.7,235,4,2021,17,2,mTEC
MIDO,804,MIDO804,44,NA,75.6,3.35,NA,1.1,7.82,14.8,510,4,2021,17,2,mTEC
MIDO,805,MIDO805,40,NA,70.3,8.38,NA,0.6,7.82,16.1,255,4,2021,17,2,mTEC
MIDO,825,MIDO825,44,NA,68.9,4.05,NA,1,6.95,16.1,520,4,2021,17,2,mTEC
MIDO,826,MIDO826,52,NA,82.3,3.27,NA,1,6.93,15.5,390,4,2021,17,2,mTEC
MIDO,831,MIDO831,34,NA,104.2,1.75,NA,1.6,7.09,15.7,750,4,2021,17,2,mTEC
MIDO,brooklyn at the plaza,MIDObrooklyn at the plaza,35,NA,83,3.71,NA,1.7,6.76,15.4,360,4,2021,17,2,mTEC
NORO,503,NORO503,31,NA,64.2,12.3,NA,0,7.13,15.5,580,4,2021,17,2,mTEC
NORO,510,NORO510,36,NA,72.5,20.3,NA,0.5,7.13,17.2,140,4,2021,17,2,mTEC
NORO,605,NORO605,38,NA,90.9,14.4,NA,1.1,7.16,17.6,100,4,2021,17,2,mTEC
NORO,615,NORO615,29,NA,150.5,1.59,NA,3,7.03,17.4,450,4,2021,17,2,mTEC
BICO,101,BICO101,34,NA,54.9,57.6,NA,NA,7.47,10.1,595,2,2020,,1,mTEC
MIDO,103,MIDO103,39,NA,53.2,51.2,NA,NA,7.25,9.1,360,2,2020,,1,mTEC
MIDO,301,MIDO301,42,17,36,18,NA,NA,7.3,9.7,415,2,2020,,1,mTEC
MIDO,305,MIDO305,41,NA,40.8,29.3,NA,NA,7.11,10.6,635,2,2020,,1,mTEC
MIDO,502,MIDO502,33,NA,37.4,39.3,NA,NA,7.35,9.6,NA,2,2020,,1,
MIDO,505,MIDO505,33,NA,40.2,40.1,NA,NA,7.39,9.8,NA,2,2020,,1,
MIDO,506,MIDO506,42,NA,44.6,26.4,NA,NA,7.42,9.9,NA,2,2020,,1,
MIDO,507,MIDO507,30,NA,40.8,41.1,NA,NA,7.46,9.7,NA,2,2020,,1,
MIDO,508,MIDO508,42,NA,43.3,20.2,NA,NA,7.4,10.1,NA,2,2020,,1,
MIDO,604,MIDO604,33,NA,49.5,19.8,NA,NA,7.45,9.4,145,2,2020,,1,mTEC
MIDO,605,MIDO605,,NA,37.6,15.1,NA,NA,7.28,,225,2,2020,,1,mTEC
MIDO,606,MIDO606,23,NA,40.2,16.1,NA,NA,7.45,9,145,2,2020,,1,mTEC
MIDO,608,MIDO608,32,NA,44.3,16.2,NA,NA,7.41,0,175,2,2020,,1,mTEC
MIDO,609,MIDO609,36,NA,39.7,7.6,NA,NA,7.53,10.2,180,2,2020,,1,mTEC
MIDO,610,MIDO610,51,NA,46.1,16.4,NA,NA,7.44,,90,2,2020,,1,mTEC
MIDO,611,MIDO611,24,NA,43,14.6,NA,NA,7.47,8.7,175,2,2020,,1,mTEC
MIDO,612,MIDO612,43,NA,50.5,16.5,NA,NA,7.4,9.1,175,2,2020,,1,mTEC
MIDO,613,MIDO613,34,NA,45.8,15.9,NA,NA,7.28,9.8,195,2,2020,,1,mTEC
MIDO,616,MIDO616,31,NA,65.8,14.6,NA,NA,7.31,,250,2,2020,,1,mTEC
MIDO,617,MIDO617,28,NA,31.4,32.9,NA,NA,7.54,10.8,145,2,2020,,1,mTEC
MIDO,706,MIDO706,33,NA,33.9,17.3,NA,NA,7.31,9.4,295,2,2020,,1,mTEC
MIDO,707,MIDO707,36,NA,66,11.9,NA,NA,7.01,10.2,130,2,2020,,1,mTEC
MIDO,709,MIDO709,39,NA,47.3,7.49,NA,NA,7.36,11.6,655,2,2020,,1,mTEC
MIDO,712,MIDO712,31,NA,62.7,8.27,NA,NA,7.16,10.3,530,2,2020,,1,mTEC
MIDO,719,MIDO719,37,NA,56,0,NA,NA,7.29,9.9,395,2,2020,,1,mTEC
MIDO,801,MIDO801,,NA,60.8,60.8,NA,NA,7.44,9.3,510,2,2020,,1,mTEC
MIDO,802,MIDO802,,NA,71.9,8.65,NA,NA,7.26,9.4,210,2,2020,,1,mTEC
MIDO,804,MIDO804,40,NA,69.1,5.38,NA,NA,7.17,10.1,225,2,2020,,1,mTEC
MIDO,805,MIDO805,24,NA,42.6,12.4,NA,NA,7.25,10.3,NA,2,2020,,1,
MIDO,816,MIDO816,29,NA,50.2,8.07,NA,NA,7.54,9.8,85,2,2020,,1,mTEC
MIDO,817,MIDO817,36,NA,44.6,8.26,NA,NA,7.76,9.9,160,2,2020,,1,mTEC
MIDO,820,MIDO820,35,NA,19.2,8.42,NA,NA,7.67,9.8,155,2,2020,,1,mTEC
MIDO,825,MIDO825,,NA,,,NA,NA,,11.5,NA,2,2020,,1,
MIDO,826,MIDO826,,NA,82,5.06,NA,NA,0,10.5,280,2,2020,,1,mTEC
NORO,108,NORO108,33,NA,50.3,6.79,NA,NA,7.31,9.3,150,2,2020,,1,mTEC
NORO,114,NORO114,32,NA,52.7,38.1,NA,NA,7.25,8.8,560,2,2020,,1,mTEC
NORO,401,NORO401,38,NA,54.4,16.9,NA,NA,7.25,13.3,115,2,2020,,1,mTEC
NORO,503,NORO503,,NA,50.1,25.7,NA,NA,7.46,9.5,255,2,2020,,1,mTEC
NORO,510,NORO510,,NA,55.7,25.6,NA,NA,7.76,9.7,NA,2,2020,,1,
NORO,520,NORO520,30,NA,113.2,17.4,NA,NA,7.14,10,NA,2,2020,,1,
NORO,527,NORO527,30,NA,112,29.3,NA,NA,6.99,10.1,190,2,2020,,1,mTEC
NORO,605,NORO605,50,NA,48.9,58.9,NA,NA,7.35,11.1,445,2,2020,,1,mTEC
NORO,606,NORO606,35,NA,,,NA,NA,,9.1,NA,2,2020,,1,
NORO,609,NORO609,39,NA,48.9,4.16,NA,NA,7.36,9.3,NA,2,2020,,1,
NORO,615,NORO615,18,NA,82.1,19.3,NA,NA,7.05,9.6,1460,2,2020,,1,mTEC
BICO,101,BICO102,NA,NA,132,NA,NA,NA,6.75,16.87,4100,8,2020,8,3,
MIDO,505,MIDO505,NA,NA,114,NA,NA,NA,7.05,16.3,720,8,2020,8,3,
MIDO,507,MIDO507,NA,NA,78,NA,NA,NA,6.84,15.44,1750,8,2020,8,3,
MIDO,508,MIDO508,NA,NA,152,NA,NA,NA,6.95,16.24,355,8,2020,8,3,
MIDO,604,MIDO604,NA,NA,74,NA,NA,NA,6.72,13.29,NA,8,2020,8,3,
MIDO,609,MIDO609,NA,NA,106,NA,NA,NA,6.62,20.18,1950,8,2020,8,3,
MIDO,610,MIDO610,NA,NA,69,NA,NA,NA,6.47,11.41,1800,8,2020,8,3,
MIDO,612,MIDO612,NA,NA,77,NA,NA,NA,6.65,16.12,1055,8,2020,8,3,
MIDO,613,MIDO613,NA,NA,115,NA,NA,NA,6.67,22.41,345,8,2020,8,3,
MIDO,616,MIDO616,NA,NA,92,NA,NA,NA,6.75,13.34,905,8,2020,8,3,
MIDO,617,MIDO617,NA,NA,108,NA,NA,NA,6.83,17.98,1700,8,2020,8,3,
MIDO,706,MIDO706,NA,NA,79,NA,NA,NA,6.63,19.26,925,8,2020,8,3,
MIDO,707,MIDO707,NA,NA,228,NA,NA,NA,6.19,20.14,685,8,2020,8,3,
MIDO,709,MIDO709,NA,NA,99,NA,NA,NA,6.87,15.16,525,8,2020,8,3,
MIDO,712,MIDO712,NA,NA,125,NA,NA,NA,6.83,16.78,445,8,2020,8,3,
MIDO,719,MIDO719,NA,NA,151,NA,NA,NA,6.21,18.35,900,8,2020,8,3,
MIDO,801,MIDO801,NA,NA,NA,NA,NA,NA,NA,NA,175,8,2020,8,3,
MIDO,802,MIDO802,NA,NA,121,NA,NA,NA,6.75,15.82,1050,8,2020,8,3,
MIDO,804,MIDO804,NA,NA,107,NA,NA,NA,5.58,11.77,255,8,2020,8,3,
MIDO,805,MIDO805,NA,NA,94,NA,NA,NA,5.3,14.65,2000,8,2020,8,3,
MIDO,825,MIDO825,NA,NA,105,NA,NA,NA,6.18,14.45,2050,8,2020,8,3,
MIDO,826,MIDO826,NA,NA,101,NA,NA,NA,6.6,13.41,1550,8,2020,8,3,
NORO,503,NORO503,NA,NA,102,NA,NA,NA,6.64,14.91,3100,8,2020,8,3,
NORO,510,NORO510,NA,NA,131,NA,NA,NA,6.42,15.71,370,8,2020,8,3,
NORO,615,NORO615,NA,NA,222,NA,NA,NA,6.6,15.04,1255,8,2020,8,3,
BICO,101,BICO101,37,NA,83.9,15.7,NA,1.7,6.32,16.9,155,11,2020,14,4,
MIDO,505,MIDO505,46,NA,63.2,14.3,NA,1.3,6.47,15.5,180,11,2020,14,4,
MIDO,507,MIDO507,39,NA,45,7.2,NA,1.5,6.63,15.1,210,11,2020,14,4,
MIDO,508,MIDO508,46,NA,59.6,16,NA,1.3,6.46,15.2,285,11,2020,14,4,
MIDO,604,MIDO604,28,NA,54.3,9.91,NA,1.4,6.36,14.7,340,11,2020,14,4,
MIDO,609,MIDO609,36,NA,54.2,5.79,NA,1.5,6.5,15.1,185,11,2020,14,4,
MIDO,610,MIDO610,44,NA,54.8,8.09,NA,1,6.47,16.2,170,11,2020,14,4,
MIDO,612,MIDO612,32,NA,46,4.02,NA,1.5,6.55,16,225,11,2020,14,4,
MIDO,613,MIDO613,32,NA,58.9,10.3,NA,1.5,6.56,14.9,230,11,2020,14,4,
MIDO,616,MIDO616,38,NA,67.3,4.63,NA,1.4,6.43,15.7,285,11,2020,14,4,
MIDO,617,MIDO617,36,NA,47.2,11.8,NA,1.2,6.38,16.1,155,11,2020,14,4,
MIDO,706,MIDO706,32,NA,46.7,12.6,NA,1.1,6.46,15.3,225,11,2020,14,4,
MIDO,707,MIDO707,35,NA,109.7,7.6,NA,2.1,6.3,14.6,325,11,2020,14,4,
MIDO,709,MIDO709,39,NA,55.3,7.16,NA,2.2,6.51,14.6,555,11,2020,14,4,
MIDO,712,MIDO712,33,NA,71.3,2.77,NA,1.8,6.39,14.2,200,11,2020,14,4,
MIDO,719,MIDO719,39,NA,79,14.9,NA,2.2,6.39,17,110,11,2020,14,4,
MIDO,801,MIDO801,40,NA,82.4,13.4,NA,1.7,6.26,16.9,185,11,2020,14,4,
MIDO,802,MIDO802,46,NA,78.2,4.23,NA,1.1,6.29,13.9,545,11,2020,14,4,
MIDO,804,MIDO804,40,NA,78.3,3.09,NA,1.4,6.76,13.8,660,11,2020,14,4,
MIDO,805,MIDO805,33,NA,68.1,8.83,NA,2.1,6.72,14.5,355,11,2020,14,4,
MIDO,825,MIDO825,45,NA,71.6,7.14,NA,1.4,6.31,16.3,1850,11,2020,14,4,
MIDO,826,MIDO826,42,NA,78.7,4.36,NA,1.6,6.91,16.1,1015,11,2020,14,4,
MIDO,831,MIDO831,37,NA,108.3,2.23,NA,1.5,6.44,16,360,11,2020,14,4,
NORO,503,NORO503,41,NA,82.7,9.4,NA,1.9,7.56,14.4,565,11,2020,14,4,
NORO,510,NORO510,36,NA,80.5,13.6,NA,1.7,7.65,17.6,90,11,2020,14,4,
NORO,605,NORO605,46,NA,82.6,12.4,NA,1.6,6.4,18.1,135,11,2020,14,4,
NORO,615,NORO615,18,NA,143.3,3.31,NA,2.5,6.23,17.2,630,11,2020,14,4,
BICO,101,BICO 101,33,NA,78.6,8.6,NA,1.8,7,8.7,85,2,2019,3,1,mTEC
MIDO,103,MIDO 103,37,NA,55.9,3.3,NA,1.2,6.99,11.6,160,2,2019,3,1,mTEC
MIDO,301,MIDO 301,32,NA,0,11,NA,0.4,7.03,11.2,55,2,2019,3,1,mTEC
MIDO,305,MIDO 305,31,NA,24.1,7.6,NA,1.2,6.97,12.2,525,2,2019,3,1,mTEC
MIDO,502,MIDO 502,30,NA,47.9,6.7,NA,1.6,7.17,10,110,2,2019,3,1,mTEC
MIDO,505,MIDO 505,39,NA,51.9,10,NA,1.2,6.9,9.9,180,2,2019,3,1,mTEC
MIDO,506,MIDO 506,50,NA,60.4,9.5,NA,3.4,6.9,15.6,NA,2,2019,3,1,mTEC
MIDO,507,MIDO 507,34,NA,59.9,2.8,NA,2.2,6.93,12,NA,2,2019,3,1,mTEC
MIDO,508,MIDO 508,33,NA,52.5,2.3,NA,1.6,6.89,10.1,110,2,2019,3,1,mTEC
MIDO,601,MIDO 601,31,NA,0.5,3.8,NA,1,6.98,10.8,120,2,2019,3,1,mTEC
MIDO,604,MIDO 604,43,NA,59.2,3.8,NA,1.1,7.05,10.7,60,2,2019,3,1,mTEC
MIDO,605,MIDO 605,27,NA,24.5,4.5,NA,1.4,6.95,11.3,105,2,2019,3,1,mTEC
MIDO,606,MIDO 606,41,NA,24.9,4.8,NA,0.8,6.94,10.9,130,2,2019,3,1,mTEC
MIDO,608,MIDO 608,34,NA,58.5,4.6,NA,1,6.94,10.9,80,2,2019,3,1,mTEC
MIDO,609,MIDO 609,35,NA,57.2,2.7,NA,0.9,6.99,11.6,995,2,2019,3,1,mTEC
MIDO,610,MIDO 610,46,NA,59.5,4.3,NA,0.9,7,10.9,100,2,2019,3,1,mTEC
MIDO,611,MIDO 611,,NA,63.6,7.4,NA,0.9,6.94,10.7,80,2,2019,3,1,mTEC
MIDO,612,MIDO 612,43,NA,28.5,4.4,NA,1.2,6.96,10.7,185,2,2019,3,1,mTEC
MIDO,613,MIDO 613,21,NA,0.1,6.1,NA,1.7,6.93,10.2,85,2,2019,3,1,mTEC
MIDO,616,MIDO 616,33,NA,74.4,2.9,NA,1.3,6.92,11.4,275,2,2019,3,1,mTEC
MIDO,617,MIDO 617,31,NA,21.3,21,NA,0.7,7.03,9.9,50,2,2019,3,1,mTEC
MIDO,704,MIDO 704,,NA,0.1,11,NA,3.7,6.97,,,2,2019,3,1,mTEC
MIDO,706,MIDO 706,37,NA,48.8,6.6,NA,1,7.03,10,90,2,2019,3,1,mTEC
MIDO,707,MIDO 707,37,NA,83.1,2.9,NA,1.6,6.94,11.2,240,2,2019,3,1,mTEC
MIDO,708,MIDO 708,,NA,135.6,8,NA,5.5,6.84,,,2,2019,3,1,mTEC
MIDO,709,MIDO 709,,NA,29.8,2.5,NA,2.2,6.94,12.6,100,2,2019,3,1,mTEC
MIDO,712,MIDO 712,36,NA,75.5,0.45,NA,1.6,6.97,12.1,80,2,2019,3,1,mTEC
MIDO,719,MIDO 719,36,NA,78.4,7.7,NA,1.8,6.92,8.8,995,2,2019,3,1,mTEC
MIDO,801,MIDO 801,35,NA,40,8.9,NA,1.6,6.92,8.9,100,2,2019,3,1,mTEC
MIDO,802,MIDO 802,42,NA,5.5,2.5,NA,1.2,6.92,11.5,80,2,2019,3,1,mTEC
MIDO,804,MIDO 804,34,NA,,,NA,,,9.1,185,2,2019,3,1,mTEC
MIDO,805,MIDO 805,41,NA,,,NA,,,10.4,85,2,2019,3,1,mTEC
MIDO,816,MIDO 816,32,NA,63.1,1.5,NA,1.1,6.95,11.5,275,2,2019,3,1,mTEC
MIDO,817,MIDO 817,35,NA,57,2.2,NA,0.8,6.95,11.3,50,2,2019,3,1,mTEC
MIDO,820,MIDO 820,40,NA,50.6,2.4,NA,1.2,6.96,11.4,250,2,2019,3,1,mTEC
MIDO,825,MIDO 825,37,NA,69.8,1.9,NA,1.4,6.92,12.9,585,2,2019,3,1,mTEC
MIDO,826,MIDO 826,29,NA,0,0.35,NA,1.9,6.92,13.1,1950,2,2019,3,1,mTEC
NORO,108,NORO 108,22,NA,67.5,1.6,NA,0.9,6.99,11.8,305,2,2019,3,1,mTEC
NORO,114,NORO 114,24,NA,37,8.5,NA,0.7,6.89,8.9,85,2,2019,3,1,mTEC
NORO,401,NORO 401,45,NA,23,20,NA,1.4,7.08,8.2,60,2,2019,3,1,mTEC
NORO,404,NORO 404,NA,NA,NA,NA,NA,NA,NA,NA,80,2,2019,3,1,mTEC
NORO,404,NORO 404,,NA,53.1,4.5,NA,1.7,6.94,,,2,2019,3,1,mTEC
NORO,501,NORO 501,30,NA,59,6.6,NA,1.4,7.02,11.1,1500,2,2019,3,1,mTEC
NORO,503,NORO 503,27,NA,64.2,6.6,NA,1.1,6.96,10.8,1150,2,2019,3,1,mTEC
NORO,510,NORO 510,29,NA,32.8,10,NA,1.6,6.93,8.4,110,2,2019,3,1,mTEC
NORO,511,NORO 511,30,NA,63.3,6.8,NA,1.3,7.04,11.9,175,2,2019,3,1,mTEC
NORO,514,NORO 514,33,NA,57.3,4.6,NA,1.1,7,10.7,45,2,2019,3,1,mTEC
NORO,520,NORO 520,23,NA,131.9,3.8,NA,1.7,6.81,11.5,120,2,2019,3,1,mTEC
NORO,527,NORO 527,23,NA,126,2.3,NA,1.6,6.86,11.4,85,2,2019,3,1,mTEC
NORO,605,NORO 605,28,NA,0.2,0.25,NA,1,6.95,14,205,2,2019,3,1,mTEC
NORO,609,NORO 609,29,NA,0.1,10,NA,1.7,7.02,8.9,280,2,2019,3,1,mTEC
NORO,615,NORO 615,28,NA,184.4,1.5,NA,2.2,6.78,14.3,550,2,2019,3,1,mTEC
BICO,101,BICO101,33,NA,104.9,10,NA,NA,6.94,26.2,310,7,2019,21,3,mTEC
MIDO,601,MIDO601,43,NA,66,3,NA,NA,6.07,23.6,360,7,2019,21,3,mTEC
MIDO,604,MIDO604,49,NA,72.7,3.9,NA,NA,6.05,23.4,295,7,2019,21,,
MIDO,608,MIDO608,48,NA,57.9,3.8,NA,NA,6.17,24.3,220,7,2019,21,3,mTEC
MIDO,610,MIDO610,40,NA,60.8,4.1,NA,NA,7.44,24.4,425,7,2019,21,3,mTEC
MIDO,616,MIDO616,38,NA,81.7,0.9,NA,NA,7,22.8,630,7,2019,21,3,mTEC
MIDO,706,MIDO706,52,NA,54,4.9,NA,NA,7.56,24.9,65,7,2019,21,3,mTEC
MIDO,707,MIDO707,43,NA,153.6,2.5,NA,NA,7.27,NA,410,7,2019,21,3,mTEC
MIDO,709,MIDO709,44,NA,72.1,2.8,NA,NA,7.28,20.6,445,7,2019,21,3,mTEC
MIDO,712,MIDO712,42,NA,76.8,5.8,NA,NA,7.16,21.9,425,7,2019,21,3,mTEC
MIDO,719,MIDO719,32,NA,97,9.5,NA,NA,7.07,26.4,380,7,2019,21,3,mTEC
MIDO,801,MIDO801,NA,NA,97.4,7.3,NA,NA,5.89,NA,NA,7,2019,21,3,
MIDO,804,MIDO804,41,NA,76.7,0.15,NA,NA,6.98,22.4,590,7,2019,21,3,mTEC
MIDO,805,MIDO805,37,NA,78.7,5.3,NA,NA,6.1,22.9,NA,7,2019,21,3,
NORO,401,NORO401,39,NA,62.3,7.3,NA,NA,7.19,27.4,125,7,2019,21,3,mTEC
NORO,520,NORO520,33,NA,138.8,1.4,NA,NA,6.78,24.2,410,7,2019,21,3,mTEC
NORO,527,NORO527,37,NA,140.7,1.6,NA,NA,7.18,24.3,955,7,2019,21,3,mTEC
BICO,101,BICO101,41,,,10.97,,2.94,7.17,10.5,n/a (lab error),11,2019,17,4,
MIDO,103,MIDO103,45,,,10.76,,2.24,7.36,10.3,n/a (lab error),11,2019,17,4,
MIDO,301,MIDO301,36,,35,5.11,,0.84,6.81,11.3,n/a (lab error),11,2019,17,4,
MIDO,305,MIDO305,23,,,9.27,,2.1,7.51,13,n/a (lab error),11,2019,17,4,
MIDO,502,MIDO502,43,,,5.79,,1.26,7.08,11.1,n/a (lab error),11,2019,17,4,
MIDO,505,MIDO505,39,,45.1,,,1.4,6.83,11.2,n/a (lab error),11,2019,17,4,
MIDO,506,MIDO506,32,,,6.4,,1.26,7.15,12.1,n/a (lab error),11,2019,17,4,
MIDO,507,MIDO507,,,41.3,3.93,,3.22,6.72,,n/a (lab error),11,2019,17,4,
MIDO,508,MIDO508,40,,49.3,6.69,,1.26,6.72,10.7,n/a (lab error),11,2019,17,4,
MIDO,604,MIDO604,38,,,7.1,,1.54,7.01,11.9,n/a (lab error),11,2019,17,4,
MIDO,605,MIDO605,32,,37.2,5.09,,2.66,6.77,11,n/a (lab error),11,2019,17,4,
MIDO,606,MIDO606,38,,,,,1.26,,11.2,n/a (lab error),11,2019,17,4,
MIDO,608,MIDO608,32,,42.6,6.98,,0.56,6.77,11.3,n/a (lab error),11,2019,17,4,
MIDO,609,MIDO609,34,,,3.04,,1.26,7.2,11.4,n/a (lab error),11,2019,17,4,
MIDO,610,MIDO610,43,,47.4,7.67,,1.26,6.85,10.8,n/a (lab error),11,2019,17,4,
MIDO,611,MIDO611,,,39.5,4.73,,1.4,6.8,10.4,n/a (lab error),11,2019,17,4,
MIDO,612,MIDO612,44,,43,4.81,,0.98,6.52,11.1,n/a (lab error),11,2019,17,4,
MIDO,613,MIDO613,46,,44.2,10.21,,1.54,6.33,10.6,n/a (lab error),11,2019,17,4,
MIDO,616,MIDO616,40,,,7.16,,1.54,,11.3,n/a (lab error),11,2019,17,4,
MIDO,617,MIDO617,36,,47.7,10.53,,1.12,6.66,11.7,n/a (lab error),11,2019,17,4,
MIDO,704,MIDO704,,,67.2,0.5,,7.7,6.86,,n/a (lab error),11,2019,17,4,
MIDO,706,MIDO706,40,,,9.76,,1.26,7.4,11.8,n/a (lab error),11,2019,17,4,
MIDO,707,MIDO707,42,,93.9,4.17,,3.78,6.75,11.2,n/a (lab error),11,2019,17,4,
MIDO,708,MIDO708,,,25.7,1.28,,14.7,6.98,,n/a (lab error),11,2019,17,4,
MIDO,709,MIDO709,44,,,2.48,,3.78,7.8,12,n/a (lab error),11,2019,17,4,
MIDO,712,MIDO712,36,,,1.78,,2.24,7.32,11,n/a (lab error),11,2019,17,4,
MIDO,719,MIDO719,41,,65.7,9.11,,2.52,6.74,10.9,n/a (lab error),11,2019,17,4,
MIDO,801,MIDO801,30,,,9.83,,2.24,7.22,10.1,n/a (lab error),11,2019,17,4,
MIDO,802,MIDO802,35,,56.2,2.56,,1.4,6.61,11.1,n/a (lab error),11,2019,17,4,
MIDO,804,MIDO804,33,,48.9,1.29,,1.4,6.7,11.3,n/a (lab error),11,2019,17,4,
MIDO,805,MIDO805,44,,,4.56,,1.12,7.01,11.9,n/a (lab error),11,2019,17,4,
MIDO,816,MIDO816,41,,43.3,1.91,,1.12,6.91,11.6,n/a (lab error),11,2019,17,4,
MIDO,817,MIDO817,49,,44.6,1.51,,0.98,6.86,12.3,n/a (lab error),11,2019,17,4,
MIDO,820,MIDO820,34,,35.8,2.16,,1.26,6.81,12.1,n/a (lab error),11,2019,17,4,
MIDO,825,MIDO825,,,56.9,5.74,,1.96,6.92,,n/a (lab error),11,2019,17,4,
MIDO,826,MIDO826,,,52.5,3.13,,2.38,6.33,,n/a (lab error),11,2019,17,4,
NORO,108,NORO108,35,,43.2,2.61,,0.98,6.67,11.5,n/a (lab error),11,2019,17,4,
